Book_page,Year,Site,Nest_ID,Species,Observer,Date_found,how_found,Clutch_max,floatAge,ageMethod
b14.6,2014,chur,14HPE1,sepl,vloverti,2014-06-14,,3,,
b11.7,2011,eaba,11eaba,wrsa,bhill,2011-07-10,searcher,4,,
b11.6,2011,eaba,11eabaagc01,amgp,dkessler,2011-06-24,searcher,4,6.0,float
b11.6,2011,eaba,11eabaagv01,amgp,dkessler,2011-06-25,searcher,3,3.0,float
b11.6,2011,eaba,11eababbc02,bbpl,dkessler,2011-06-24,searcher,4,4.0,float
b11.7,2011,eaba,11eababsv01,wrsa,bhill,2011-07-07,searcher,4,2.0,float
b11.6,2011,eaba,11eabaduh01,dunl,dkessler,2011-06-28,searcher,3,2.0,float
b11.6,2011,eaba,11eabaduv01,dunl,dkessler,2011-06-29,searcher,4,5.0,float
b11.7,2011,eaba,11eabarpc01,reph,bhill,2011-07-08,searcher,4,4.0,float
b11.7,2011,eaba,11eabarpc02,reph,bhill,2011-07-08,searcher,3,4.0,float
b11.7,2011,eaba,11eabarpc03,reph,bhill,2011-07-09,searcher,4,6.0,float
b11.7,2011,eaba,11eabarph04,reph,rlanctot,2011-07-04,searcher,4,5.0,float
b11.7,2011,eaba,11eabarph05,reph,rlanctot,2011-07-05,searcher,4,4.0,float
b11.7,2011,eaba,11eabarph06,reph,bhill,2011-07-06,searcher,3,4.0,float
b11.7,2011,eaba,11eabarph07,reph,bhill,2011-07-08,searcher,4,4.0,float
b11.7,2011,eaba,11eabarph08,reph,jzamuido,2011-07-13,searcher,4,5.0,float
b11.7,2011,eaba,11eabarpm02,reph,bhill,2011-07-07,searcher,4,4.0,float
b11.7,2011,eaba,11eabarth07,rutu,jzamuido,2011-07-15,searcher,4,12.0,float
b11.6,2011,eaba,11eabartm01,rutu,dkessler,2011-06-26,searcher,4,3.0,float
b11.6,2011,eaba,11eabaspc01,sepl,dkessler,2011-06-29,searcher,4,4.0,float
b11.6,2011,eaba,11eabaspc02,sepl,dkessler,2011-06-30,searcher,4,9.0,float
b11.6,2011,eaba,11eabasph04,sepl,dkessler,2011-06-29,searcher,4,7.0,hatch
b11.6,2011,eaba,11eabasph05,sepl,dkessler,2011-06-29,searcher,4,6.0,hatch
b11.6,2011,eaba,11eabaspm01,sepl,dkessler,2011-06-26,searcher,3,0.0,float
b11.6,2011,eaba,11eabaspm02,sepl,dkessler,2011-06-26,searcher,4,8.0,float
b11.6,2011,eaba,11eabaspm03,sepl,dkessler,2011-06-30,searcher,4,2.0,float
b11.6,2011,eaba,11eabaspv01,sepl,dkessler,2011-06-28,searcher,4,9.0,hatch
b11.6,2011,eaba,11eabawrc01,wrsa,dkessler,2011-06-24,searcher,4,4.0,hatch
b11.7,2011,eaba,11eabawrc03,wrsa,jzamuido,2011-07-13,searcher,4,2.0,float
b11.7,2011,eaba,11eabawrc04,wrsa,jzamuido,2011-07-13,searcher,3,2.0,float
b11.7,2011,eaba,11eabawrc05,wrsa,jzamuido,2011-07-13,searcher,4,11.0,float
b11.7,2011,eaba,11eabawrc06,wrsa,jzamuido,2011-07-19,searcher,4,2.0,float
b11.7,2011,eaba,11eabawrc07,wrsa,jzamuido,2011-07-19,searcher,3,11.0,float
b11.7,2011,eaba,11eabawrh02,wrsa,rlanctot,2011-07-05,searcher,4,3.0,float
b11.7,2011,eaba,11eabawrh03,wrsa,rlanctot,2011-07-05,searcher,3,3.0,float
b11.7,2011,eaba,11eabawrh04,wrsa,bhill,2011-07-06,searcher,4,3.0,float
b11.7,2011,eaba,11eabawrh05,wrsa,jzamuido,2011-07-16,searcher,3,3.0,float
b11.7,2011,eaba,11eabawrh06,wrsa,jzamuido,2011-07-19,searcher,4,3.0,float
b11.7,2011,eaba,11eabawrh07,wrsa,jzamuido,2011-07-19,searcher,4,12.0,float
b11.6,2011,eaba,11eabawrm01,wrsa,abankert,2011-06-20,searcher,4,3.0,float
b11.7,2011,eaba,11eabawrm04,wrsa,ssaalfeld,2011-07-02,searcher,4,5.0,hatch
b11.7,2011,eaba,11eabawrm06,wrsa,bhill,2011-07-10,searcher,3,0.0,float
b13.6,2013,eaba,13eababba01,bbpl,amould,2013-06-25,searcher,4,3.0,float
b13.6,2013,eaba,13eababba04,bbpl,amould,2013-06-27,searcher,4,3.0,float
b13.6,2013,eaba,13eababbs01,bbpl,amould,2013-06-24,searcher,2,,
b13.7,2013,eaba,13eabadue01,dunl,amould,2013-07-01,searcher,2,,
b13.6,2013,eaba,13eabarpa01,reph,amould,2013-06-27,searcher,4,2.0,float
b13.7,2013,eaba,13eabarpa05,reph,amould,2013-07-02,searcher,1,,
b13.7,2013,eaba,13eabarpe04,reph,rlanctot,2013-07-04,searcher,3,,
