Year,Site,Observer,Start,End
2005,bylo,lmckinnon,2005-06-01,2005-08-05
2005,bylo,blalibert,2005-06-01,2005-08-20
2006,bylo,lmckinnon,2006-06-01,2006-08-05
2006,bylo,ljolicoeur,2006-06-01,2006-08-20
2007,bylo,lmckinnon,2007-06-01,2007-08-05
2007,bylo,ljolicoeur,2007-06-01,2007-08-20
2008,bylo,edastrous,2008-06-01,2008-08-05
2008,bylo,lmckinnon,2008-06-01,2008-08-05
2008,bylo,mpatenaude-monette,2008-06-01,2008-08-20
2009,bylo,jflamarre,2009-06-01,2009-08-05
2009,bylo,lmckinnon,2009-06-01,2009-08-05
2009,bylo,lmercier,2009-06-01,2009-08-05
2010,barr,mbwunder,2010-06-28,2010-07-01
2010,barr,lworing,2010-06-18,2010-06-25
2010,barr,rlanctot,2010-06-20,2010-07-05
2010,barr,cjrguerra,2010-07-01,2010-07-16
2010,barr,bhill,2010-05-25,2010-07-15
2010,barr,radugan,2010-05-26,2010-07-31
2010,barr,adoll,2010-05-25,2010-07-31
2010,barr,arbankert,2010-05-25,2010-07-31
2010,barr,yhhsu,2010-05-25,2010-07-31
2010,barr,myyang,2010-06-01,2010-08-10
2010,bylo,echalifour,2010-06-01,2010-07-19
2010,bylo,jflamarre,2010-06-01,2010-08-05
2010,bylo,pbertrand,2010-06-05,2010-08-20
2010,cakr,sbuckell,2010-06-10,2010-06-29
2010,cari,skendall,2010-06-24,2010-06-28
2010,cari,skendall,2010-06-03,2010-06-09
2010,cari,abaltensperger,2010-06-24,2010-07-07
2010,cari,bharrington,2010-06-03,2010-06-24
2010,cari,mmcgarvey,2010-06-03,2010-06-24
2010,cari,sbrown,2010-06-03,2010-06-24
2010,cari,ecorp,2010-06-04,2010-07-07
2010,cari,cwoodworth,2010-06-03,2010-07-11
2010,cari,hcraig,2010-06-03,2010-07-11
2010,cari,sfreeman,2010-06-03,2010-07-11
2010,chur,lmckinnon,2010-06-01,2010-06-17
2010,chur,jrjulian,2010-06-18,2010-07-26
2010,chur,frousseaux,2010-06-01,2010-07-26
2010,chur,nrsenner,2010-06-08,2010-08-03
2010,chur,asjohnson,2010-06-01,2010-07-27
2010,chur,jcoughlan,2010-06-04,2010-08-01
2010,chur,bmwalker,2010-05-25,2010-07-22
2010,chur,smbillerman,2010-05-25,2010-07-27
2010,chur,acorkery,2010-05-14,2010-08-12
2010,eaba,dedwards,2010-06-02,2010-06-23
2010,eaba,psmith,2010-06-02,2010-06-23
2010,eaba,atufts,2010-06-02,2010-07-25
2010,eaba,dmcgeachy,2010-06-02,2010-07-25
2010,eaba,kbertrand,2010-06-02,2010-07-25
2010,eaba,mchown,2010-06-02,2010-07-25
