Code,Common_name,Scientific_name,Relevance
agsq,Arctic ground squirrel,Spermophilus parryii,Potential predator (eggs; mammal)
amcr,American Crow,Corvus brachyrhynchos,Potential predator (avian)
amgp,American Golden-Plover,Pluvialis dominica,Study species
arfo,Arctic fox,Alopex lagopus,Potential predator (mammal)
arte,Arctic Tern,Sterna paradisaea,Incidental monitoring
basa,Baird's Sandpiper,Calidris bairdii,Study species
bbis,Broad-billed Sandpiper,Calidris falcinellus,Study species
bbpl,Black-bellied Plover,Pluvialis squatarola,Study species
bbsa,Buff-breasted Sandpiper,Calidris subruficollis,Study species
besw,Bewick's Swan,Cygnus columbianus,Incidental monitoring
bltu,Black Turnstone,Arenaria melanocephala,Study species; potential predator (eggs)
brant,Brant,Branta bernicla,Incidental monitoring
brbe,Brown bear,Ursus arctos,Potential predator (mammal)
brle,Brown lemming,Lemmus trimucronatus,Microtine (alternate prey for predators)
btcu,Bristle-thighed Curlew,Numenius tahitiensis,Study species
btgo,Bar-tailed Godwit,Limosa lapponica,Study species
cole,Collared lemming,Dicrostonyx groenlandicus,Microtine (alternate prey for predators)
cora,Common Raven,Corvus corax,Potential predator (avian)
cosn,Common Snipe,Gallinago gallinago,Study species
crpl,Common Ringed Plover,Charadrius hiaticula,Study species
cusa,Curlew Sandpiper,Calidris ferruginea,Study species
dunl,Dunlin,Calidris alpina,Study species
eywa,Eastern Yellow Wagtail,Motacilla tschutschensis,Incidental monitoring
glgu,Glaucous Gull,Larus hyperboreus,Potential predator (avian)
goea,Golden Eagle,Aquila chrysaetos,Potential predator (avian)
gwfg,Greater White-fronted Goose,Anser albifrons,Incidental monitoring
gwgu,Glaucous-winged Gull,Larus glaucescens,Potential predator (avian)
gwte,Green-winged Teal,Anas carolinensis,Incidental monitoring
gyrf,Gyrfalcon,Falco rusticolus,Potential predator (avian)
herg,Herring Gull,Larus argentatus,Potential predator (avian)
hore,Hoary Redpoll,Acanthis hornemanni,Incidental monitoring
hugo,Hudsonian Godwit,Limosa haemastica,Study species
kill,Killdeer,Charadrius vociferus,Study species
lalo,Lapland Longspur,Calcarius lapponicus,Incidental monitoring
lbdo,Long-billed Dowitcher,Limnodromus scolopaceus,Study species
lesa,Least Sandpiper,Calidris minutilla,Study species
leye,Lesser Yellowlegs,Tringa flavipes,Study species
list,Little Stint,Calidris minuta,Study species
ltdu,Long-tailed Duck,Clangula hyemalis,Incidental monitoring
ltja,Long-tailed Jaeger,Stercorarius longicaudus,Potential predator (avian)
ltwe,Least weasel,Mustela nivalis,Potential predator (eggs; mammal)
mago,Marbled Godwit,Limosa fedoa,Study species
megu,Mew Gull,Larus canus,Potential predator (avian)
merl,Merlin,Falco columbarius,Potential predator (avian)
noha,Northern Harrier,Circus cyaneus,Potential predator (avian)
nopi,Northern Pintail,Anas acuta,Incidental monitoring
nrvo,Northern red-backed vole,Myodes rutilus,Microtine (alternate prey for predators)
nsho,Northern Shoveler,Anas clypeata,Incidental monitoring
pagp,Pacific Golden-Plover,Pluvialis fulva,Study species
paja,Parasitic Jaeger,Stercorarius parasiticus,Potential predator (avian)
palo,Pacific Loon,Gavia pacifica,Incidental monitoring
